Delivery Start (EET);Delivery End (EET);FI Price (EUR)
01.01.2022 01:00:00;01.01.2022 02:00:00;46.6
01.01.2022 02:00:00;01.01.2022 03:00:00;41.33
01.01.2022 03:00:00;01.01.2022 04:00:00;42.18
01.01.2022 04:00:00;01.01.2022 05:00:00;44.37
01.01.2022 05:00:00;01.01.2022 06:00:00;37.67
01.01.2022 06:00:00;01.01.2022 07:00:00;39.7
01.01.2022 07:00:00;01.01.2022 08:00:00;40.59
01.01.2022 08:00:00;01.01.2022 09:00:00;43.26
01.01.2022 09:00:00;01.01.2022 10:00:00;49.66
01.01.2022 10:00:00;01.01.2022 11:00:00;65.48
01.01.2022 11:00:00;01.01.2022 12:00:00;76.53
01.01.2022 12:00:00;01.01.2022 13:00:00;83.63
01.01.2022 13:00:00;01.01.2022 14:00:00;94.74
01.01.2022 14:00:00;01.01.2022 15:00:00;94.02
01.01.2022 15:00:00;01.01.2022 16:00:00;97.17
01.01.2022 16:00:00;01.01.2022 17:00:00;101.27
01.01.2022 17:00:00;01.01.2022 18:00:00;126.6
01.01.2022 18:00:00;01.01.2022 19:00:00;149.97
01.01.2022 19:00:00;01.01.2022 20:00:00;146.33
01.01.2022 20:00:00;01.01.2022 21:00:00;140.28
01.01.2022 21:00:00;01.01.2022 22:00:00;121.88
01.01.2022 22:00:00;01.01.2022 23:00:00;102.61
01.01.2022 23:00:00;02.01.2022 00:00:00;97.46
02.01.2022 00:00:00;02.01.2022 01:00:00;85.16
02.01.2022 01:00:00;02.01.2022 02:00:00;57.08
02.01.2022 02:00:00;02.01.2022 03:00:00;55.09
02.01.2022 03:00:00;02.01.2022 04:00:00;52.82
02.01.2022 04:00:00;02.01.2022 05:00:00;34.94
02.01.2022 05:00:00;02.01.2022 06:00:00;29.56
02.01.2022 06:00:00;02.01.2022 07:00:00;53.01
02.01.2022 07:00:00;02.01.2022 08:00:00;34.52
02.01.2022 08:00:00;02.01.2022 09:00:00;41.8
02.01.2022 09:00:00;02.01.2022 10:00:00;48.95
02.01.2022 10:00:00;02.01.2022 11:00:00;60.01
02.01.2022 11:00:00;02.01.2022 12:00:00;70.09
02.01.2022 12:00:00;02.01.2022 13:00:00;66.26
02.01.2022 13:00:00;02.01.2022 14:00:00;64.54
02.01.2022 14:00:00;02.01.2022 15:00:00;46.96
02.01.2022 15:00:00;02.01.2022 16:00:00;65.19
02.01.2022 16:00:00;02.01.2022 17:00:00;74.99
02.01.2022 17:00:00;02.01.2022 18:00:00;88.15
02.01.2022 18:00:00;02.01.2022 19:00:00;95.4
02.01.2022 19:00:00;02.01.2022 20:00:00;86.71
02.01.2022 20:00:00;02.01.2022 21:00:00;71.27
02.01.2022 21:00:00;02.01.2022 22:00:00;54.12
02.01.2022 22:00:00;02.01.2022 23:00:00;46.16
02.01.2022 23:00:00;03.01.2022 00:00:00;46.29
03.01.2022 00:00:00;03.01.2022 01:00:00;32.93
03.01.2022 01:00:00;03.01.2022 02:00:00;20.89
03.01.2022 02:00:00;03.01.2022 03:00:00;19.92
03.01.2022 03:00:00;03.01.2022 04:00:00;19.87
03.01.2022 04:00:00;03.01.2022 05:00:00;19.82
03.01.2022 05:00:00;03.01.2022 06:00:00;20.26
03.01.2022 06:00:00;03.01.2022 07:00:00;29.35
03.01.2022 07:00:00;03.01.2022 08:00:00;80
03.01.2022 08:00:00;03.01.2022 09:00:00;106.87
03.01.2022 09:00:00;03.01.2022 10:00:00;122.93
03.01.2022 10:00:00;03.01.2022 11:00:00;110.17
03.01.2022 11:00:00;03.01.2022 12:00:00;101.99
03.01.2022 12:00:00;03.01.2022 13:00:00;102.38
03.01.2022 13:00:00;03.01.2022 14:00:00;106.06
03.01.2022 14:00:00;03.01.2022 15:00:00;110.07
03.01.2022 15:00:00;03.01.2022 16:00:00;101.97
03.01.2022 16:00:00;03.01.2022 17:00:00;98.05
03.01.2022 17:00:00;03.01.2022 18:00:00;120.55
03.01.2022 18:00:00;03.01.2022 19:00:00;139.57
03.01.2022 19:00:00;03.01.2022 20:00:00;134.69
03.01.2022 20:00:00;03.01.2022 21:00:00;114.82
03.01.2022 21:00:00;03.01.2022 22:00:00;92.91
03.01.2022 22:00:00;03.01.2022 23:00:00;72.39
03.01.2022 23:00:00;04.01.2022 00:00:00;49.3
04.01.2022 00:00:00;04.01.2022 01:00:00;34.4
04.01.2022 01:00:00;04.01.2022 02:00:00;39.99
04.01.2022 02:00:00;04.01.2022 03:00:00;37.14
04.01.2022 03:00:00;04.01.2022 04:00:00;36.66
04.01.2022 04:00:00;04.01.2022 05:00:00;38.64
04.01.2022 05:00:00;04.01.2022 06:00:00;41.02
04.01.2022 06:00:00;04.01.2022 07:00:00;93.97
04.01.2022 07:00:00;04.01.2022 08:00:00;122.39
04.01.2022 08:00:00;04.01.2022 09:00:00;154.93
04.01.2022 09:00:00;04.01.2022 10:00:00;167.88
04.01.2022 10:00:00;04.01.2022 11:00:00;166.65
04.01.2022 11:00:00;04.01.2022 12:00:00;167.29
04.01.2022 12:00:00;04.01.2022 13:00:00;164.62
04.01.2022 13:00:00;04.01.2022 14:00:00;159.98
04.01.2022 14:00:00;04.01.2022 15:00:00;155.69
04.01.2022 15:00:00;04.01.2022 16:00:00;155.16
04.01.2022 16:00:00;04.01.2022 17:00:00;158.45
