Delivery Start (EET);Delivery End (EET);FI Price (EUR)
02.01.2023 14:00:00;02.01.2023 15:00:00;143.76
02.01.2023 15:00:00;02.01.2023 16:00:00;148.2
02.01.2023 16:00:00;02.01.2023 17:00:00;155.34
02.01.2023 17:00:00;02.01.2023 18:00:00;162.89
02.01.2023 18:00:00;02.01.2023 19:00:00;170
02.01.2023 19:00:00;02.01.2023 20:00:00;174.74
02.01.2023 20:00:00;02.01.2023 21:00:00;164.46
02.01.2023 21:00:00;02.01.2023 22:00:00;153
02.01.2023 22:00:00;02.01.2023 23:00:00;141.67
02.01.2023 23:00:00;03.01.2023 00:00:00;131.67
03.01.2023 00:00:00;03.01.2023 01:00:00;118.06
03.01.2023 01:00:00;03.01.2023 02:00:00;78.81
03.01.2023 02:00:00;03.01.2023 03:00:00;73.93
03.01.2023 03:00:00;03.01.2023 04:00:00;73.94
03.01.2023 04:00:00;03.01.2023 05:00:00;71.44
03.01.2023 05:00:00;03.01.2023 06:00:00;72.33
03.01.2023 06:00:00;03.01.2023 07:00:00;77.14
03.01.2023 07:00:00;03.01.2023 08:00:00;102.48
03.01.2023 08:00:00;03.01.2023 09:00:00;154.96
03.01.2023 09:00:00;03.01.2023 10:00:00;163.92
03.01.2023 10:00:00;03.01.2023 11:00:00;167.07
03.01.2023 11:00:00;03.01.2023 12:00:00;168.57
03.01.2023 12:00:00;03.01.2023 13:00:00;169.49
03.01.2023 13:00:00;03.01.2023 14:00:00;164.5
03.01.2023 14:00:00;03.01.2023 15:00:00;160.91
03.01.2023 15:00:00;03.01.2023 16:00:00;163.06
03.01.2023 16:00:00;03.01.2023 17:00:00;167.73
03.01.2023 17:00:00;03.01.2023 18:00:00;166.61
03.01.2023 18:00:00;03.01.2023 19:00:00;170.72
03.01.2023 19:00:00;03.01.2023 20:00:00;168.93
03.01.2023 20:00:00;03.01.2023 21:00:00;160.99
03.01.2023 21:00:00;03.01.2023 22:00:00;149.62
03.01.2023 22:00:00;03.01.2023 23:00:00;131.05
03.01.2023 23:00:00;04.01.2023 00:00:00;114.27
04.01.2023 00:00:00;04.01.2023 01:00:00;93.66
04.01.2023 01:00:00;04.01.2023 02:00:00;82.88
04.01.2023 02:00:00;04.01.2023 03:00:00;78.84
04.01.2023 03:00:00;04.01.2023 04:00:00;69.93
04.01.2023 04:00:00;04.01.2023 05:00:00;69.26
04.01.2023 05:00:00;04.01.2023 06:00:00;71.75
04.01.2023 06:00:00;04.01.2023 07:00:00;81.73
04.01.2023 07:00:00;04.01.2023 08:00:00;112.76
04.01.2023 08:00:00;04.01.2023 09:00:00;126.72
04.01.2023 09:00:00;04.01.2023 10:00:00;127.91
04.01.2023 10:00:00;04.01.2023 11:00:00;127.92
04.01.2023 11:00:00;04.01.2023 12:00:00;121.25
04.01.2023 12:00:00;04.01.2023 13:00:00;118.97
04.01.2023 13:00:00;04.01.2023 14:00:00;119.92
04.01.2023 14:00:00;04.01.2023 15:00:00;135.07
04.01.2023 15:00:00;04.01.2023 16:00:00;130.08
04.01.2023 16:00:00;04.01.2023 17:00:00;130.05
04.01.2023 17:00:00;04.01.2023 18:00:00;125.07
04.01.2023 18:00:00;04.01.2023 19:00:00;133.44
04.01.2023 19:00:00;04.01.2023 20:00:00;125.01
04.01.2023 20:00:00;04.01.2023 21:00:00;119.88
04.01.2023 21:00:00;04.01.2023 22:00:00;64.56
04.01.2023 22:00:00;04.01.2023 23:00:00;57.26
04.01.2023 23:00:00;05.01.2023 00:00:00;37.94
05.01.2023 00:00:00;05.01.2023 01:00:00;30.82
05.01.2023 01:00:00;05.01.2023 02:00:00;30.03
05.01.2023 02:00:00;05.01.2023 03:00:00;28.15
05.01.2023 03:00:00;05.01.2023 04:00:00;27.68
05.01.2023 04:00:00;05.01.2023 05:00:00;27.76
05.01.2023 05:00:00;05.01.2023 06:00:00;28.63
05.01.2023 06:00:00;05.01.2023 07:00:00;39.8
05.01.2023 07:00:00;05.01.2023 08:00:00;62.7
05.01.2023 08:00:00;05.01.2023 09:00:00;85.53
05.01.2023 09:00:00;05.01.2023 10:00:00;93.54
05.01.2023 10:00:00;05.01.2023 11:00:00;107.92
05.01.2023 11:00:00;05.01.2023 12:00:00;128.75
05.01.2023 12:00:00;05.01.2023 13:00:00;139.64
05.01.2023 13:00:00;05.01.2023 14:00:00;139.99
05.01.2023 14:00:00;05.01.2023 15:00:00;142.58
05.01.2023 15:00:00;05.01.2023 16:00:00;149.4
05.01.2023 16:00:00;05.01.2023 17:00:00;155.2
05.01.2023 17:00:00;05.01.2023 18:00:00;168.59
05.01.2023 18:00:00;05.01.2023 19:00:00;190.03
05.01.2023 19:00:00;05.01.2023 20:00:00;190
05.01.2023 20:00:00;05.01.2023 21:00:00;173.71
05.01.2023 21:00:00;05.01.2023 22:00:00;160.05
05.01.2023 22:00:00;05.01.2023 23:00:00;148.62
05.01.2023 23:00:00;06.01.2023 00:00:00;141.17
06.01.2023 00:00:00;06.01.2023 01:00:00;127
06.01.2023 01:00:00;06.01.2023 02:00:00;107.21
06.01.2023 02:00:00;06.01.2023 03:00:00;101.1
06.01.2023 03:00:00;06.01.2023 04:00:00;96.73
06.01.2023 04:00:00;06.01.2023 05:00:00;82.34
06.01.2023 05:00:00;06.01.2023 06:00:00;81.93
06.01.2023 06:00:00;06.01.2023 07:00:00;98.11
06.01.2023 07:00:00;06.01.2023 08:00:00;100.72
06.01.2023 08:00:00;06.01.2023 09:00:00;128.3
06.01.2023 09:00:00;06.01.2023 10:00:00;135.57
06.01.2023 10:00:00;06.01.2023 11:00:00;126.91
06.01.2023 11:00:00;06.01.2023 12:00:00;123.17
06.01.2023 12:00:00;06.01.2023 13:00:00;116.12
06.01.2023 13:00:00;06.01.2023 14:00:00;116.83
06.01.2023 14:00:00;06.01.2023 15:00:00;106.79
06.01.2023 15:00:00;06.01.2023 16:00:00;127.54
06.01.2023 16:00:00;06.01.2023 17:00:00;131.27
06.01.2023 17:00:00;06.01.2023 18:00:00;135.62
06.01.2023 18:00:00;06.01.2023 19:00:00;150.72
06.01.2023 19:00:00;06.01.2023 20:00:00;142.11
06.01.2023 20:00:00;06.01.2023 21:00:00;119.92
06.01.2023 21:00:00;06.01.2023 22:00:00;107.22
06.01.2023 22:00:00;06.01.2023 23:00:00;101.02
06.01.2023 23:00:00;07.01.2023 00:00:00;74.25
07.01.2023 00:00:00;07.01.2023 01:00:00;71.74
07.01.2023 01:00:00;07.01.2023 02:00:00;71.67
07.01.2023 02:00:00;07.01.2023 03:00:00;69.93
07.01.2023 03:00:00;07.01.2023 04:00:00;69.94
07.01.2023 04:00:00;07.01.2023 05:00:00;70.95
07.01.2023 05:00:00;07.01.2023 06:00:00;73.83
07.01.2023 06:00:00;07.01.2023 07:00:00;75.26
07.01.2023 07:00:00;07.01.2023 08:00:00;77.82
07.01.2023 08:00:00;07.01.2023 09:00:00;75.97
07.01.2023 09:00:00;07.01.2023 10:00:00;79.98
07.01.2023 10:00:00;07.01.2023 11:00:00;97.1
07.01.2023 11:00:00;07.01.2023 12:00:00;90.25
07.01.2023 12:00:00;07.01.2023 13:00:00;79.8
07.01.2023 13:00:00;07.01.2023 14:00:00;80.05
07.01.2023 14:00:00;07.01.2023 15:00:00;80.63
07.01.2023 15:00:00;07.01.2023 16:00:00;80.51
07.01.2023 16:00:00;07.01.2023 17:00:00;78.94
07.01.2023 17:00:00;07.01.2023 18:00:00;79.93
07.01.2023 18:00:00;07.01.2023 19:00:00;78.68
07.01.2023 19:00:00;07.01.2023 20:00:00;78.38
07.01.2023 20:00:00;07.01.2023 21:00:00;74.39
07.01.2023 21:00:00;07.01.2023 22:00:00;66.98
07.01.2023 22:00:00;07.01.2023 23:00:00;59.99
07.01.2023 23:00:00;08.01.2023 00:00:00;48.8
08.01.2023 00:00:00;08.01.2023 01:00:00;35.9
08.01.2023 01:00:00;08.01.2023 02:00:00;24.44
08.01.2023 02:00:00;08.01.2023 03:00:00;9.3
08.01.2023 03:00:00;08.01.2023 04:00:00;9.1
08.01.2023 04:00:00;08.01.2023 05:00:00;4.16
08.01.2023 05:00:00;08.01.2023 06:00:00;5.58
08.01.2023 06:00:00;08.01.2023 07:00:00;9.92
08.01.2023 07:00:00;08.01.2023 08:00:00;9.02
08.01.2023 08:00:00;08.01.2023 09:00:00;16.47
08.01.2023 09:00:00;08.01.2023 10:00:00;27.08
08.01.2023 10:00:00;08.01.2023 11:00:00;29.08
08.01.2023 11:00:00;08.01.2023 12:00:00;35.22
08.01.2023 12:00:00;08.01.2023 13:00:00;47
08.01.2023 13:00:00;08.01.2023 14:00:00;47
08.01.2023 14:00:00;08.01.2023 15:00:00;48.96
08.01.2023 15:00:00;08.01.2023 16:00:00;54.91
08.01.2023 16:00:00;08.01.2023 17:00:00;63.49
08.01.2023 17:00:00;08.01.2023 18:00:00;66.11
08.01.2023 18:00:00;08.01.2023 19:00:00;69.19
08.01.2023 19:00:00;08.01.2023 20:00:00;69.91
08.01.2023 20:00:00;08.01.2023 21:00:00;65.62
08.01.2023 21:00:00;08.01.2023 22:00:00;60.98
08.01.2023 22:00:00;08.01.2023 23:00:00;57.41
08.01.2023 23:00:00;09.01.2023 00:00:00;50.02
09.01.2023 00:00:00;09.01.2023 01:00:00;46.29
09.01.2023 01:00:00;09.01.2023 02:00:00;69.04
09.01.2023 02:00:00;09.01.2023 03:00:00;64.38
09.01.2023 03:00:00;09.01.2023 04:00:00;60.28
09.01.2023 04:00:00;09.01.2023 05:00:00;39.41
09.01.2023 05:00:00;09.01.2023 06:00:00;47.34
09.01.2023 06:00:00;09.01.2023 07:00:00;68.99
09.01.2023 07:00:00;09.01.2023 08:00:00;82.71
09.01.2023 08:00:00;09.01.2023 09:00:00;81.72
09.01.2023 09:00:00;09.01.2023 10:00:00;82.6
09.01.2023 10:00:00;09.01.2023 11:00:00;83
09.01.2023 11:00:00;09.01.2023 12:00:00;82.65
09.01.2023 12:00:00;09.01.2023 13:00:00;83.05
09.01.2023 13:00:00;09.01.2023 14:00:00;82.92
09.01.2023 14:00:00;09.01.2023 15:00:00;82.8
09.01.2023 15:00:00;09.01.2023 16:00:00;82.67
09.01.2023 16:00:00;09.01.2023 17:00:00;83.03
09.01.2023 17:00:00;09.01.2023 18:00:00;82.41
09.01.2023 18:00:00;09.01.2023 19:00:00;81.37
09.01.2023 19:00:00;09.01.2023 20:00:00;81.24
09.01.2023 20:00:00;09.01.2023 21:00:00;81.2
09.01.2023 21:00:00;09.01.2023 22:00:00;82.32
09.01.2023 22:00:00;09.01.2023 23:00:00;85.54
09.01.2023 23:00:00;10.01.2023 00:00:00;83.84
10.01.2023 00:00:00;10.01.2023 01:00:00;80.59
10.01.2023 01:00:00;10.01.2023 02:00:00;76.05
10.01.2023 02:00:00;10.01.2023 03:00:00;79.95
10.01.2023 03:00:00;10.01.2023 04:00:00;78.82
10.01.2023 04:00:00;10.01.2023 05:00:00;80.06
10.01.2023 05:00:00;10.01.2023 06:00:00;83.16
10.01.2023 06:00:00;10.01.2023 07:00:00;91.02
10.01.2023 07:00:00;10.01.2023 08:00:00;117.8
10.01.2023 08:00:00;10.01.2023 09:00:00;117.71
10.01.2023 09:00:00;10.01.2023 10:00:00;99.97
10.01.2023 10:00:00;10.01.2023 11:00:00;97.46
10.01.2023 11:00:00;10.01.2023 12:00:00;107.79
10.01.2023 12:00:00;10.01.2023 13:00:00;118.62
10.01.2023 13:00:00;10.01.2023 14:00:00;140.07
10.01.2023 14:00:00;10.01.2023 15:00:00;139.97
10.01.2023 15:00:00;10.01.2023 16:00:00;141.92
10.01.2023 16:00:00;10.01.2023 17:00:00;142.42
10.01.2023 17:00:00;10.01.2023 18:00:00;139.31
10.01.2023 18:00:00;10.01.2023 19:00:00;142.83
10.01.2023 19:00:00;10.01.2023 20:00:00;169.17
10.01.2023 20:00:00;10.01.2023 21:00:00;149.35
10.01.2023 21:00:00;10.01.2023 22:00:00;105.64
10.01.2023 22:00:00;10.01.2023 23:00:00;142.04
10.01.2023 23:00:00;11.01.2023 00:00:00;105.69
11.01.2023 00:00:00;11.01.2023 01:00:00;87.07
11.01.2023 01:00:00;11.01.2023 02:00:00;52.69
11.01.2023 02:00:00;11.01.2023 03:00:00;31.85
11.01.2023 03:00:00;11.01.2023 04:00:00;25.17
11.01.2023 04:00:00;11.01.2023 05:00:00;22.57
11.01.2023 05:00:00;11.01.2023 06:00:00;41.96
11.01.2023 06:00:00;11.01.2023 07:00:00;65.81
11.01.2023 07:00:00;11.01.2023 08:00:00;114.62
11.01.2023 08:00:00;11.01.2023 09:00:00;95.14
11.01.2023 09:00:00;11.01.2023 10:00:00;72.71
11.01.2023 10:00:00;11.01.2023 11:00:00;69.96
11.01.2023 11:00:00;11.01.2023 12:00:00;68.89
11.01.2023 12:00:00;11.01.2023 13:00:00;69.29
11.01.2023 13:00:00;11.01.2023 14:00:00;68.86
11.01.2023 14:00:00;11.01.2023 15:00:00;66.8
11.01.2023 15:00:00;11.01.2023 16:00:00;69.52
11.01.2023 16:00:00;11.01.2023 17:00:00;75.91
11.01.2023 17:00:00;11.01.2023 18:00:00;76.84
11.01.2023 18:00:00;11.01.2023 19:00:00;74.08
11.01.2023 19:00:00;11.01.2023 20:00:00;75.08
11.01.2023 20:00:00;11.01.2023 21:00:00;67.99
11.01.2023 21:00:00;11.01.2023 22:00:00;65.16
11.01.2023 22:00:00;11.01.2023 23:00:00;60.01
11.01.2023 23:00:00;12.01.2023 00:00:00;49.91
12.01.2023 00:00:00;12.01.2023 01:00:00;43.32
12.01.2023 01:00:00;12.01.2023 02:00:00;19.88
12.01.2023 02:00:00;12.01.2023 03:00:00;5.55
12.01.2023 03:00:00;12.01.2023 04:00:00;4.69
12.01.2023 04:00:00;12.01.2023 05:00:00;0.1
12.01.2023 05:00:00;12.01.2023 06:00:00;2.73
12.01.2023 06:00:00;12.01.2023 07:00:00;24.94
12.01.2023 07:00:00;12.01.2023 08:00:00;36.01
12.01.2023 08:00:00;12.01.2023 09:00:00;59.98
12.01.2023 09:00:00;12.01.2023 10:00:00;65.18
12.01.2023 10:00:00;12.01.2023 11:00:00;65.03
12.01.2023 11:00:00;12.01.2023 12:00:00;66.3
12.01.2023 12:00:00;12.01.2023 13:00:00;66.72
12.01.2023 13:00:00;12.01.2023 14:00:00;66.6
12.01.2023 14:00:00;12.01.2023 15:00:00;70.85
12.01.2023 15:00:00;12.01.2023 16:00:00;73.76
12.01.2023 16:00:00;12.01.2023 17:00:00;74.44
12.01.2023 17:00:00;12.01.2023 18:00:00;74.81
12.01.2023 18:00:00;12.01.2023 19:00:00;76.39
12.01.2023 19:00:00;12.01.2023 20:00:00;78.65
12.01.2023 20:00:00;12.01.2023 21:00:00;79.82
12.01.2023 21:00:00;12.01.2023 22:00:00;74.08
12.01.2023 22:00:00;12.01.2023 23:00:00;74.5
12.01.2023 23:00:00;13.01.2023 00:00:00;66.84
13.01.2023 00:00:00;13.01.2023 01:00:00;42.49
13.01.2023 01:00:00;13.01.2023 02:00:00;32.64
13.01.2023 02:00:00;13.01.2023 03:00:00;21.87
13.01.2023 03:00:00;13.01.2023 04:00:00;16.54
13.01.2023 04:00:00;13.01.2023 05:00:00;18.46
13.01.2023 05:00:00;13.01.2023 06:00:00;24.82
13.01.2023 06:00:00;13.01.2023 07:00:00;30.32
13.01.2023 07:00:00;13.01.2023 08:00:00;56.09
13.01.2023 08:00:00;13.01.2023 09:00:00;85.77
13.01.2023 09:00:00;13.01.2023 10:00:00;95.6
13.01.2023 10:00:00;13.01.2023 11:00:00;98.23
13.01.2023 11:00:00;13.01.2023 12:00:00;92.58
13.01.2023 12:00:00;13.01.2023 13:00:00;84.93
13.01.2023 13:00:00;13.01.2023 14:00:00;76.53
13.01.2023 14:00:00;13.01.2023 15:00:00;71.97
13.01.2023 15:00:00;13.01.2023 16:00:00;75.36
13.01.2023 16:00:00;13.01.2023 17:00:00;81.82
13.01.2023 17:00:00;13.01.2023 18:00:00;85.31
13.01.2023 18:00:00;13.01.2023 19:00:00;96.9
13.01.2023 19:00:00;13.01.2023 20:00:00;96.2
13.01.2023 20:00:00;13.01.2023 21:00:00;91.07
13.01.2023 21:00:00;13.01.2023 22:00:00;84.94
13.01.2023 22:00:00;13.01.2023 23:00:00;76.89
13.01.2023 23:00:00;14.01.2023 00:00:00;76.51
14.01.2023 00:00:00;14.01.2023 01:00:00;68.3
14.01.2023 01:00:00;14.01.2023 02:00:00;49.71
14.01.2023 02:00:00;14.01.2023 03:00:00;44.24
14.01.2023 03:00:00;14.01.2023 04:00:00;45.41
14.01.2023 04:00:00;14.01.2023 05:00:00;42.25
14.01.2023 05:00:00;14.01.2023 06:00:00;41.7
14.01.2023 06:00:00;14.01.2023 07:00:00;41.68
14.01.2023 07:00:00;14.01.2023 08:00:00;45.1
14.01.2023 08:00:00;14.01.2023 09:00:00;53.4
14.01.2023 09:00:00;14.01.2023 10:00:00;53.63
14.01.2023 10:00:00;14.01.2023 11:00:00;56.89
14.01.2023 11:00:00;14.01.2023 12:00:00;66.72
14.01.2023 12:00:00;14.01.2023 13:00:00;65.56
14.01.2023 13:00:00;14.01.2023 14:00:00;65.39
14.01.2023 14:00:00;14.01.2023 15:00:00;79.04
14.01.2023 15:00:00;14.01.2023 16:00:00;80.05
14.01.2023 16:00:00;14.01.2023 17:00:00;98.87
14.01.2023 17:00:00;14.01.2023 18:00:00;102.1
14.01.2023 18:00:00;14.01.2023 19:00:00;104.91
14.01.2023 19:00:00;14.01.2023 20:00:00;101.42
14.01.2023 20:00:00;14.01.2023 21:00:00;80.06
14.01.2023 21:00:00;14.01.2023 22:00:00;70
14.01.2023 22:00:00;14.01.2023 23:00:00;68.52
14.01.2023 23:00:00;15.01.2023 00:00:00;57.39
15.01.2023 00:00:00;15.01.2023 01:00:00;40.05
15.01.2023 01:00:00;15.01.2023 02:00:00;27.4
15.01.2023 02:00:00;15.01.2023 03:00:00;27.23
15.01.2023 03:00:00;15.01.2023 04:00:00;24.28
15.01.2023 04:00:00;15.01.2023 05:00:00;13
15.01.2023 05:00:00;15.01.2023 06:00:00;7.98
15.01.2023 06:00:00;15.01.2023 07:00:00;4.85
15.01.2023 07:00:00;15.01.2023 08:00:00;6.05
15.01.2023 08:00:00;15.01.2023 09:00:00;10.09
15.01.2023 09:00:00;15.01.2023 10:00:00;14.03
15.01.2023 10:00:00;15.01.2023 11:00:00;19.07
15.01.2023 11:00:00;15.01.2023 12:00:00;17.83
15.01.2023 12:00:00;15.01.2023 13:00:00;11.7
15.01.2023 13:00:00;15.01.2023 14:00:00;6.93
15.01.2023 14:00:00;15.01.2023 15:00:00;6.04
15.01.2023 15:00:00;15.01.2023 16:00:00;6.09
15.01.2023 16:00:00;15.01.2023 17:00:00;19.1
15.01.2023 17:00:00;15.01.2023 18:00:00;27.43
15.01.2023 18:00:00;15.01.2023 19:00:00;30.9
15.01.2023 19:00:00;15.01.2023 20:00:00;27.61
15.01.2023 20:00:00;15.01.2023 21:00:00;25.9
15.01.2023 21:00:00;15.01.2023 22:00:00;12.47
15.01.2023 22:00:00;15.01.2023 23:00:00;20.79
15.01.2023 23:00:00;16.01.2023 00:00:00;31.04
16.01.2023 00:00:00;16.01.2023 01:00:00;32.38
16.01.2023 01:00:00;16.01.2023 02:00:00;35.35
16.01.2023 02:00:00;16.01.2023 03:00:00;36.13
16.01.2023 03:00:00;16.01.2023 04:00:00;36.13
16.01.2023 04:00:00;16.01.2023 05:00:00;38.57
16.01.2023 05:00:00;16.01.2023 06:00:00;41.81
16.01.2023 06:00:00;16.01.2023 07:00:00;45.59
16.01.2023 07:00:00;16.01.2023 08:00:00;66.81
16.01.2023 08:00:00;16.01.2023 09:00:00;86.63
16.01.2023 09:00:00;16.01.2023 10:00:00;89.34
16.01.2023 10:00:00;16.01.2023 11:00:00;90.96
16.01.2023 11:00:00;16.01.2023 12:00:00;98.73
16.01.2023 12:00:00;16.01.2023 13:00:00;99.38
16.01.2023 13:00:00;16.01.2023 14:00:00;90
16.01.2023 14:00:00;16.01.2023 15:00:00;91.55
16.01.2023 15:00:00;16.01.2023 16:00:00;89.4
16.01.2023 16:00:00;16.01.2023 17:00:00;89.89
16.01.2023 17:00:00;16.01.2023 18:00:00;89.46
16.01.2023 18:00:00;16.01.2023 19:00:00;88.39
16.01.2023 19:00:00;16.01.2023 20:00:00;87.38
16.01.2023 20:00:00;16.01.2023 21:00:00;80.04
16.01.2023 21:00:00;16.01.2023 22:00:00;65.91
16.01.2023 22:00:00;16.01.2023 23:00:00;59.69
16.01.2023 23:00:00;17.01.2023 00:00:00;51.24
17.01.2023 00:00:00;17.01.2023 01:00:00;46.52
17.01.2023 01:00:00;17.01.2023 02:00:00;47.13
17.01.2023 02:00:00;17.01.2023 03:00:00;42.94
17.01.2023 03:00:00;17.01.2023 04:00:00;42.15
17.01.2023 04:00:00;17.01.2023 05:00:00;40.8
17.01.2023 05:00:00;17.01.2023 06:00:00;41.62
17.01.2023 06:00:00;17.01.2023 07:00:00;45.75
17.01.2023 07:00:00;17.01.2023 08:00:00;60.17
17.01.2023 08:00:00;17.01.2023 09:00:00;70.87
17.01.2023 09:00:00;17.01.2023 10:00:00;73.37
17.01.2023 10:00:00;17.01.2023 11:00:00;72.62
17.01.2023 11:00:00;17.01.2023 12:00:00;73.95
17.01.2023 12:00:00;17.01.2023 13:00:00;76.15
17.01.2023 13:00:00;17.01.2023 14:00:00;79.96
17.01.2023 14:00:00;17.01.2023 15:00:00;75.11
17.01.2023 15:00:00;17.01.2023 16:00:00;72.21
17.01.2023 16:00:00;17.01.2023 17:00:00;75.57
17.01.2023 17:00:00;17.01.2023 18:00:00;76.03
17.01.2023 18:00:00;17.01.2023 19:00:00;76.56
17.01.2023 19:00:00;17.01.2023 20:00:00;73.46
17.01.2023 20:00:00;17.01.2023 21:00:00;67.19
17.01.2023 21:00:00;17.01.2023 22:00:00;60.14
17.01.2023 22:00:00;17.01.2023 23:00:00;53.73
17.01.2023 23:00:00;18.01.2023 00:00:00;47.42
18.01.2023 00:00:00;18.01.2023 01:00:00;43.34
18.01.2023 01:00:00;18.01.2023 02:00:00;39.85
18.01.2023 02:00:00;18.01.2023 03:00:00;38.74
18.01.2023 03:00:00;18.01.2023 04:00:00;38.69
18.01.2023 04:00:00;18.01.2023 05:00:00;38.32
18.01.2023 05:00:00;18.01.2023 06:00:00;42.7
18.01.2023 06:00:00;18.01.2023 07:00:00;52.07
18.01.2023 07:00:00;18.01.2023 08:00:00;66.8
18.01.2023 08:00:00;18.01.2023 09:00:00;79.2
18.01.2023 09:00:00;18.01.2023 10:00:00;82.56
18.01.2023 10:00:00;18.01.2023 11:00:00;82.51
18.01.2023 11:00:00;18.01.2023 12:00:00;88.81
18.01.2023 12:00:00;18.01.2023 13:00:00;86.61
18.01.2023 13:00:00;18.01.2023 14:00:00;84.41
18.01.2023 14:00:00;18.01.2023 15:00:00;86.4
18.01.2023 15:00:00;18.01.2023 16:00:00;88.84
18.01.2023 16:00:00;18.01.2023 17:00:00;89.2
18.01.2023 17:00:00;18.01.2023 18:00:00;116.07
18.01.2023 18:00:00;18.01.2023 19:00:00;105.99
18.01.2023 19:00:00;18.01.2023 20:00:00;116.38
18.01.2023 20:00:00;18.01.2023 21:00:00;123.51
18.01.2023 21:00:00;18.01.2023 22:00:00;109.42
18.01.2023 22:00:00;18.01.2023 23:00:00;119.9
18.01.2023 23:00:00;19.01.2023 00:00:00;82.29
19.01.2023 00:00:00;19.01.2023 01:00:00;75.77
19.01.2023 01:00:00;19.01.2023 02:00:00;83.56
19.01.2023 02:00:00;19.01.2023 03:00:00;83.08
19.01.2023 03:00:00;19.01.2023 04:00:00;82.7
19.01.2023 04:00:00;19.01.2023 05:00:00;84.92
19.01.2023 05:00:00;19.01.2023 06:00:00;92.84
19.01.2023 06:00:00;19.01.2023 07:00:00;107.95
19.01.2023 07:00:00;19.01.2023 08:00:00;152.75
19.01.2023 08:00:00;19.01.2023 09:00:00;181.36
19.01.2023 09:00:00;19.01.2023 10:00:00;164.83
19.01.2023 10:00:00;19.01.2023 11:00:00;155.88
19.01.2023 11:00:00;19.01.2023 12:00:00;154.81
19.01.2023 12:00:00;19.01.2023 13:00:00;138.63
19.01.2023 13:00:00;19.01.2023 14:00:00;146.47
19.01.2023 14:00:00;19.01.2023 15:00:00;151.16
19.01.2023 15:00:00;19.01.2023 16:00:00;155.35
19.01.2023 16:00:00;19.01.2023 17:00:00;170.33
19.01.2023 17:00:00;19.01.2023 18:00:00;180.33
19.01.2023 18:00:00;19.01.2023 19:00:00;173.75
19.01.2023 19:00:00;19.01.2023 20:00:00;156.61
19.01.2023 20:00:00;19.01.2023 21:00:00;151.55
19.01.2023 21:00:00;19.01.2023 22:00:00;145.65
19.01.2023 22:00:00;19.01.2023 23:00:00;143.66
19.01.2023 23:00:00;20.01.2023 00:00:00;119
20.01.2023 00:00:00;20.01.2023 01:00:00;106.21
20.01.2023 01:00:00;20.01.2023 02:00:00;97.89
20.01.2023 02:00:00;20.01.2023 03:00:00;89.93
20.01.2023 03:00:00;20.01.2023 04:00:00;84.49
20.01.2023 04:00:00;20.01.2023 05:00:00;82.69
20.01.2023 05:00:00;20.01.2023 06:00:00;84.13
20.01.2023 06:00:00;20.01.2023 07:00:00;89.95
20.01.2023 07:00:00;20.01.2023 08:00:00;149.38
20.01.2023 08:00:00;20.01.2023 09:00:00;149.94
20.01.2023 09:00:00;20.01.2023 10:00:00;151.9
