Delivery Start (EET);Delivery End (EET);FI Price (EUR)
01.01.2023 01:00:00;01.01.2023 02:00:00;2.01
01.01.2023 02:00:00;01.01.2023 03:00:00;1.38
01.01.2023 03:00:00;01.01.2023 04:00:00;0.09
01.01.2023 04:00:00;01.01.2023 05:00:00;0.08
01.01.2023 05:00:00;01.01.2023 06:00:00;0.05
01.01.2023 06:00:00;01.01.2023 07:00:00;0.08
01.01.2023 07:00:00;01.01.2023 08:00:00;0.09
01.01.2023 08:00:00;01.01.2023 09:00:00;0.53
01.01.2023 09:00:00;01.01.2023 10:00:00;2.03
01.01.2023 10:00:00;01.01.2023 11:00:00;3.1
01.01.2023 11:00:00;01.01.2023 12:00:00;4.43
01.01.2023 12:00:00;01.01.2023 13:00:00;6.06
01.01.2023 13:00:00;01.01.2023 14:00:00;6.06
01.01.2023 14:00:00;01.01.2023 15:00:00;5.68
01.01.2023 15:00:00;01.01.2023 16:00:00;17.71
01.01.2023 16:00:00;01.01.2023 17:00:00;24.11
01.01.2023 17:00:00;01.01.2023 18:00:00;36.54
01.01.2023 18:00:00;01.01.2023 19:00:00;46.03
01.01.2023 19:00:00;01.01.2023 20:00:00;54.23
01.01.2023 20:00:00;01.01.2023 21:00:00;53.63
01.01.2023 21:00:00;01.01.2023 22:00:00;48.05
01.01.2023 22:00:00;01.01.2023 23:00:00;44.68
01.01.2023 23:00:00;02.01.2023 00:00:00;45.96
02.01.2023 00:00:00;02.01.2023 01:00:00;35
02.01.2023 01:00:00;02.01.2023 02:00:00;57.91
02.01.2023 02:00:00;02.01.2023 03:00:00;51.67
02.01.2023 03:00:00;02.01.2023 04:00:00;52.86
02.01.2023 04:00:00;02.01.2023 05:00:00;44.16
02.01.2023 05:00:00;02.01.2023 06:00:00;50.08
02.01.2023 06:00:00;02.01.2023 07:00:00;70.73
02.01.2023 07:00:00;02.01.2023 08:00:00;102.56
02.01.2023 08:00:00;02.01.2023 09:00:00;138.19
02.01.2023 09:00:00;02.01.2023 10:00:00;145.98
02.01.2023 10:00:00;02.01.2023 11:00:00;147.05
02.01.2023 11:00:00;02.01.2023 12:00:00;145.61
02.01.2023 12:00:00;02.01.2023 13:00:00;143.35
02.01.2023 13:00:00;02.01.2023 14:00:00;144.38
